carriage,nst07,unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT02,THS_T,EU27	71088 	80781 	72120 	84346 	89099 	83494 	91196 	: 	: 
HIRE,GT02,THS_T,EU28	71275 	80956 	72423 	84639 	89243 	83768 	91267 	: 	: 
HIRE,GT02,THS_T,FI	: c	1989 	: c	: c	: c	: c	: c	: c	: c
HIRE,GT02,THS_T,FR	5949 	6604 	7288 	8391 	9530 	7176 	7451 	9594 	5399 
HIRE,GT02,THS_T,HR	186 	175 	302 	293 	144 	274 	71 	258 	895 
HIRE,GT02,THS_T,HU	1193 	4378 	922 	1065 	1432 	996 	912 	645 	1300 
HIRE,GT02,THS_T,IE	436 	307 	400 	474 	603 	584 	566 	980 	2369 
HIRE,GT02,THS_T,IT	10575 	6852 	8920 	10352 	11446 	8458 	12700 	11335 	13243 
HIRE,GT02,THS_T,LT	267 	214 	117 	149 	165 	142 	153 	159 	208 
HIRE,GT02,THS_T,LU	54 	152 	167 	361 	467 	1127 	1493 	1426 	476 
HIRE,GT02,THS_T,LV	: c	: c	139 	: 	: c	: c	73 	: c	: c
HIRE,GT02,THS_T,NL	379 	197 	149 	171 	199 	171 	206 	197 	198 
HIRE,GT02,THS_T,NO	: c	273 	108 	127 	: c	: 	: c	: c	267 
HIRE,GT02,THS_T,PL	20006 	17055 	12514 	17644 	17362 	13709 	18115 	11442 	13488 
HIRE,GT02,THS_T,PT	180 	: c	: c	95 	: c	: c	: c	: c	368 
HIRE,GT02,THS_T,RO	298 	239 	169 	152 	650 	1172 	1461 	1952 	1878 
HIRE,GT02,THS_T,SE	411 	1753 	: c	: c	: c	123 	: c	: c	: c
HIRE,GT02,THS_T,SI	: c	66 	78 	55 	47 	: c	62 	214 	204 
HIRE,GT02,THS_T,SK	179 	212 	97 	121 	194 	206 	184 	278 	499 
HIRE,GT02,THS_T,UK	3071 	4271 	10196 	8049 	9338 	7817 	10229 	10012 	18434 
HIRE,GT03,MIO_TKM,AT	2223 	2259 	2074 	1937 	1962 	2044 	2014 	2289 	2285 
HIRE,GT03,MIO_TKM,BE	3806 	4153 	3090 	3268 	3041 	3097 	3115 	3318 	3825 
HIRE,GT03,MIO_TKM,BG	892 	813 	803 	701 	671 	437 	454 	622 	635 
HIRE,GT03,MIO_TKM,CH	1182 	1291 	1356 	1294 	1228 	1668 	1339 	1119 	1368 
HIRE,GT03,MIO_TKM,CY	76 	48 	59 	49 	110 	151 	191 	186 	251 
HIRE,GT03,MIO_TKM,CZ	4132 	4502 	3194 	2858 	2749 	2892 	2674 	2508 	2801 
HIRE,GT03,MIO_TKM,DE	23837 	21855 	21479 	20337 	19996 	20506 	20066 	14376 	14945 
HIRE,GT03,MIO_TKM,DK	1844 	1956 	1692 	1555 	1627 	1756 	1328 	1274 	1431 
HIRE,GT03,MIO_TKM,EE	390 	416 	317 	318 	462 	442 	408 	505 	669 
HIRE,GT03,MIO_TKM,EL	1105 	745 	810 	648 	722 	817 	1166 	926 	1580 
HIRE,GT03,MIO_TKM,ES	11564 	10623 	10050 	9285 	10743 	13856 	14698 	16079 	20854 
HIRE,GT03,MIO_TKM,EU15	84404 	77930 	76652 	71580 	75014 	81892 	84167 	: 	: 
HIRE,GT03,MIO_TKM,EU25	105125 	100167 	96184 	92270 	94137 	102943 	104209 	: 	: 
HIRE,GT03,MIO_TKM,EU27	106656 	101873 	97698 	93716 	95479 	103933 	105429 	: 	: 
HIRE,GT03,MIO_TKM,EU28	107149 	102356 	98199 	94292 	95995 	104572 	106033 	: 	: 
HIRE,GT03,MIO_TKM,FI	2242 	2144 	2295 	2167 	2451 	2791 	2774 	2830 	2911 
HIRE,GT03,MIO_TKM,FR	9594 	9158 	10479 	10835 	11152 	12043 	11776 	10281 	15625 
HIRE,GT03,MIO_TKM,HR	493 	483 	501 	576 	516 	639 	604 	860 	1197 
HIRE,GT03,MIO_TKM,HU	933 	1647 	1597 	1247 	1336 	1597 	1714 	2088 	2265 
HIRE,GT03,MIO_TKM,IE	710 	531 	541 	521 	466 	523 	611 	829 	538 
HIRE,GT03,MIO_TKM,IT	5429 	6261 	5176 	5996 	6519 	9044 	9811 	10204 	10324 
HIRE,GT03,MIO_TKM,LT	636 	788 	938 	954 	988 	1188 	1071 	1038 	1240 
HIRE,GT03,MIO_TKM,LU	359 	318 	594 	634 	524 	572 	584 	747 	762 
HIRE,GT03,MIO_TKM,LV	950 	1056 	1120 	900 	1091 	1002 	814 	515 	1340 
HIRE,GT03,MIO_TKM,NL	2869 	2931 	3116 	2890 	3096 	3313 	3104 	3172 	3409 
HIRE,GT03,MIO_TKM,NO	1439 	1290 	1168 	1340 	1434 	1147 	1062 	1099 	1170 
HIRE,GT03,MIO_TKM,PL	11910 	12235 	10946 	12998 	10802 	12147 	11113 	10172 	9562 
HIRE,GT03,MIO_TKM,PT	1260 	1379 	1323 	1324 	929 	1485 	1376 	2284 	2232 
HIRE,GT03,MIO_TKM,RO	638 	893 	711 	744 	671 	553 	766 	822 	1367 
HIRE,GT03,MIO_TKM,SE	2951 	2836 	3420 	2198 	2053 	1994 	2220 	2428 	2189 
HIRE,GT03,MIO_TKM,SI	558 	593 	469 	478 	477 	591 	732 	545 	896 
HIRE,GT03,MIO_TKM,SK	1136 	952 	893 	889 	1109 	1040 	1326 	1249 	1404 
HIRE,GT03,MIO_TKM,UK	14617 	10777 	10515 	7985 	9732 	8051 	9524 	8451 	11020 
HIRE,GT03,THS_T,AT	82264 	79156 	80674 	70560 	76023 	74311 	71258 	82888 	90638 
HIRE,GT03,THS_T,BE	28414 	32258 	55094 	59197 	53557 	54530 	52494 	54608 	64820 
HIRE,GT03,THS_T,BG	16936 	21468 	20668 	16912 	18180 	16709 	12648 	15966 	20281 
HIRE,GT03,THS_T,CH	55271 	60338 	61542 	56868 	66514 	73391 	62387 	60999 	71294 
HIRE,GT03,THS_T,CY	3495 	2204 	2816 	2650 	5048 	6932 	8669 	7578 	10126 
HIRE,GT03,THS_T,CZ	100676 	110310 	86731 	64913 	73037 	74946 	77319 	90852 	106553 
HIRE,GT03,THS_T,DE	670293 	611322 	635252 	620866 	599949 	637263 	555558 	340491 	350015 
HIRE,GT03,THS_T,DK	44716 	46888 	42024 	37135 	37583 	40811 	36705 	27925 	39503 
HIRE,GT03,THS_T,EE	9176 	8052 	5361 	8608 	10700 	10319 	7635 	10139 	12727 
HIRE,GT03,THS_T,EL	29866 	20383 	25645 	17683 	18329 	20737 	39353 	33952 	47218 
HIRE,GT03,THS_T,ES	210141 	228148 	208119 	192333 	250564 	376634 	436398 	509591 	644487 
HIRE,GT03,THS_T,EU15	1827700 	1811395 	1823737 	1727889 	1812929 	2089729 	2137444 	: 	: 
HIRE,GT03,THS_T,EU25	2236886 	2244075 	2241644 	2114985 	2216578 	2588926 	2595887 	: 	: 
HIRE,GT03,THS_T,EU27	2270289 	2289401 	2279891 	2148748 	2253601 	2626502 	2626437 	: 	: 
HIRE,GT03,THS_T,EU28	2278777 	2296963 	2287583 	2158786 	2262179 	2638643 	2636295 	: 	: 
HIRE,GT03,THS_T,FI	77698 	83051 	90397 	90345 	94354 	106437 	115138 	121664 	137895 
HIRE,GT03,THS_T,FR	188583 	195507 	217936 	233988 	228637 	255669 	247124 	244370 	397083 
HIRE,GT03,THS_T,HR	8488 	7562 	7692 	10038 	8578 	12141 	9858 	17286 	24204 
HIRE,GT03,THS_T,HU	11265 	37857 	35379 	25907 	26904 	31187 	36713 	49775 	56615 
HIRE,GT03,THS_T,IE	19845 	13876 	14664 	13736 	11787 	12405 	16188 	24613 	15450 
HIRE,GT03,THS_T,IT	97001 	131147 	105114 	108211 	136244 	184566 	216301 	218276 	216776 
HIRE,GT03,THS_T,LT	6629 	6594 	6818 	5940 	5835 	6255 	5535 	5375 	10913 
HIRE,GT03,THS_T,LU	6630 	4743 	5788 	7253 	7436 	7928 	8607 	7620 	7851 
HIRE,GT03,THS_T,LV	9723 	12903 	14549 	14863 	12706 	10826 	8385 	5890 	16873 
